name,current_price,original_price,discount,sizes,stock
"Pepe Jeans Innerfashion Men's Trunks (Charcoal Melange)","539","579","7% OFF","2 sizes","In Stock"
"Pepe Jeans Innerfashion Men's Trunks (Classic Blue)","539","579","7% OFF","NA","Out of Stock"
"Pepe Jeans Innerfashion Men's Premium Trunks (True Blue)","539","579","7% OFF","3 sizes","In Stock"
"Pepe Jeans Innerfashion OPT07 Premium Enriched Egyptian Cotton Elastane Trunks (Black)","469","479","2% OFF","NA","Out of Stock"
"Pepe Jeans Innerfashion Men's Slim Fit Track Pants (Black)","829","1399","41% OFF","3 sizes","In Stock"
"Pepe Jeans Innerfashion Men's Premium Cotton Solid Briefs (True Blue)","449","479","6% OFF","NA","In Stock"
"Pepe Jeans Innerfashion PPB01 Modal Fabric Anti Microbial Finish Briefs (Navy)","439","449","2% OFF","NA","Out of Stock"
"Pepe Jeans Innerfashion Men's Boxers (Black)","719","799","10% OFF","NA","Out of Stock"
"Pepe Jeans Innerfashion Men's Shorts (Black)","709","1199","41% OFF","NA","In Stock"
"Pepe Jeans Innerfashion Men's Boxers (Blue)","669","749","11% OFF","NA","Out of Stock"
"Pepe Jeans Innerfashion Micro Modal Fabric Trunks (Black)","449","499","10% OFF","NA","In Stock"
"Pepe Jeans Innerfashion Men's Boxers (Black)","719","799","10% OFF","2 sizes","In Stock"
"Pepe Jeans Innerfashion Cotton Printed Boxers (Black)","719","799","10% OFF","NA","Out of Stock"
"Pepe Jeans Innerfashion Men's Solid Cotton Briefs (Charcoal Grey)","429","479","10% OFF","NA","Out of Stock"
"Pepe Jeans Innerfashion OPB07 Premium Enriched Egyptian Cotton Elastane Briefs (Mid Grey)","409","449","9% OFF","NA","Out of Stock"
"Pepe Jeans Innerfashion OPT07 Premium Enriched Egyptian Cotton Elastane Trunks (Black)","429","479","10% OFF","NA","In Stock"
"Pepe Jeans Innerfashion Men's Vest (White)","579","649","11% OFF","3 sizes","In Stock"
"Pepe Jeans Innerfashion Egyptian Cotton Ultra Fresh Vest (White)","489","549","11% OFF","3 sizes","In Stock"
"Pepe Jeans Innerfashion Men's Shorts (Black Melange)","719","1199","40% OFF","2 sizes","In Stock"
"Pepe Jeans Innerfashion Men's Trunks (True Blue)","539","599","10% OFF","NA","In Stock"
"Pepe Jeans Innerfashion Mens Trunks (Black)","539","599","10% OFF","NA","Out of Stock"
"Pepe Jeans Innerfashion Men's Trunks (Black)","539","599","10% OFF","3 sizes","In Stock"
"Pepe Jeans Innerfashion Men's Solid-Cotton Briefs (True Blue)","439","479","8% OFF","NA","Out of Stock"
"Pepe Jeans Innerfashion Men's Cotton Briefs (Black)","449","479","6% OFF","NA","Out of Stock"
"Pepe Jeans Innerfashion Men's Track Pants (Blue Melange)","839","1399","40% OFF","NA","In Stock"
"Pepe Jeans Innerfashion Men's Track Pants (Navy)","839","1399","40% OFF","NA","Out of Stock"
"Pepe Jeans Innerfashion Men's Boxers (Rumba Red)","499","549","9% OFF","4 sizes","In Stock"
"Pepe Jeans Innerfashion Men's Boxers (Dark Grey)","499","549","9% OFF","2 sizes","In Stock"
"Pepe Jeans Innerfashion Men's Socks (Navy, White, Black, Free size)","599","1099","45% OFF","NA","Out of Stock"
"Pepe Jeans Innerfashion Men's Socks (Medieval Blue, Anthra Melange, Teal, Free size)","599","799","25% OFF","NA","In Stock"
"Pepe Jeans Innerfashion Men's Full Sleeve Thermal Top (Charcoal)","799","799","0% OFF","NA","Out of Stock"
"Pepe Jeans Innerfashion Men's T-shirt (Pink)","589","999","41% OFF","2 sizes","In Stock"
"Pepe Jeans Innerfashion Kids Socks (Blue, Red, 4 - 6 years)","449","499","10% OFF","NA","Out of Stock"
"Pepe Jeans Innerfashion Kids Socks (Pink, White, 1 - 2 years)","449","499","10% OFF","NA","In Stock"
"Pepe Jeans Innerfashion Stylish Kids Socks (Multicolour, 7 - 9 years)","449","499","10% OFF","NA","Out of Stock"
"Pepe Jeans Innerfashion Cotton Kids Socks (Multicolour, 1 - 2 years)","449","499","10% OFF","NA","Out of Stock"
"Pepe Jeans Innerfashion Monster Kids Socks (Multicolour, 1 - 2 years)","449","499","10% OFF","NA","Out of Stock"
"Pepe Jeans Innerfashion Women's Cotton Camisole (Skin)","419","499","16% OFF","NA","Out of Stock"
"Pepe Jeans Innerfashion Women's Cotton Camisole (Black)","419","499","16% OFF","2 sizes","In Stock"
"Pepe Jeans Innerfashion Women's Camisole with Adjustable Straps (White)","419","499","16% OFF","NA","In Stock"
"Pepe Jeans Innerfashion Women's Camisole with Adjustable straps (White)","419","499","16% OFF","NA","Out of Stock"
"Pepe Jeans Innerfashion Women's Hipster Briefs (Multicolour)","679","799","15% OFF","NA","In Stock"
"Pepe Jeans Innerfashion Women's Hipster Briefs (Multicolour)","539","599","10% OFF","NA","In Stock"
"Pepe Jeans Innerfashion Women's Hipster Briefs (Multicolour)","539","599","10% OFF","4 sizes","In Stock"
"Pepe Jeans Innerfashion Printed Trunks (Grey)","299","399","25% OFF","NA","In Stock"
"Pepe Jeans Innerfashion Men's Shorts (Grey)","1199","1199","0% OFF","NA","Out of Stock"
"Pepe Jeans Innerfashion Men's Boxers (Dark Blue)","549","549","0% OFF","NA","Out of Stock"
"Pepe Jeans Innerfashion Solid T-Shirt (Navy)","499","799","38% OFF","3 sizes","In Stock"
"Pepe Jeans Innerfashion Boxers (Blue)","399","549","27% OFF","NA","In Stock"
"Pepe Jeans Innerfashion Solid T-Shirt (Peach)","499","799","38% OFF","NA","In Stock"
"Pepe Jeans Innerfashion Solid T-Shirt (Green)","799","1399","43% OFF","NA","In Stock"
"Pepe Jeans Innerfashion Solid T-Shirt (Grey)","799","1399","43% OFF","NA","In Stock"
"Pepe Jeans Innerfashion Printed Trunks (Red)","299","399","25% OFF","NA","In Stock"
"Pepe Jeans Innerfashion Men's Shorts (Grey)","699","1199","42% OFF","NA","In Stock"
"Pepe Jeans Innerfashion Drawstring Track Pants (Navy)","999","1899","47% OFF","NA","In Stock"
"Pepe Jeans Innerfashion Track Pants (Black)","999","1899","47% OFF","NA","In Stock"